Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Member of Technical Staff 2,2025-08-26,https://jobright.ai/jobs/info/68ae68c2758f2e4ac30134fe?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Jose, CA",Nutanix,5001-10000,"Data Center,Enterprise Software",$145000-$218000 /yr,"1. Bachelors degree ONLY candidate in Computer Science, Engineering, or related field.
2. 1-4 years of relevant technical experience.
3. Love of programming and rock-solid in one or more languages: C, C++, or Python, ideally for enterprise-quality software.
4. Extensive knowledge of UNIX/Linux or expertise in Windows.
5. Strong written, verbal, and collaboration skills. Team player that works well in fast-paced situations and startup environments.",no,
Software Engineer,2025-08-26,https://jobright.ai/jobs/info/68ae66f6d627244576e539b3?utm_source=1100&utm_campaign=Software Engineering,Remote,"California, United States",Zoom,5001-10000,"Collaboration,Information Technology",$98900-$228700 /yr,,not sure,
Member of Technical Staff 2,2025-08-26,https://jobright.ai/jobs/info/68ae5edcd627244576e53797?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"San Jose, CA",Nutanix,5001-10000,"Data Center,Enterprise Software",$145600-$218000 /yr,"1. Bachelor's degree ONLY in Computer Science or related field.
2. 1-4 years overall experience in building and shipping production-grade services.
3. Deep experience with application and services development in a cloud environment, distributed systems design, API design and API backend frameworks.
4. Solid understanding of operating systems and hypervisor concepts.
5. Strong understanding of API nomenclatures and service-oriented architecture.
...",no,
Retail IT POS Engineer 1,2025-08-26,https://jobright.ai/jobs/info/68ae5e3b758f2e4ac3013159?utm_source=1100&utm_campaign=Software Engineering,On Site,"Salt Lake City, UT",Kum & Go,1001-5000,"E-Commerce,Food and Beverage",,"1. Bachelor’s degree in a relevant field such as Computer Science, Information Systems, Cybersecurity, or Data Science
2. 1+ years of experience in IT industry, preferably with experience in convenience store chains with hands on experience in POS system management
3. In-depth knowledge of retail systems, including POS, inventory management, and supply chain solutions as well as database systems, preferably SQL databases
4. Communicates clearly and respectfully with peers and leaders
5. Takes initiative to meet individual goals and deadlines
...",not sure,
Software Quality Engineer I,2025-08-26,https://jobright.ai/jobs/info/68ae5d18d627244576e5369f?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Los Angeles, CA
United States - California - Sylmar",Abbott,10000+,"Biotechnology,Emergency Medicine",$72100-$114700 /yr,"1. Bachelors Degree OR an equivalent combination of education and work experience
2. Entry level position in which 0-2 years of experience is typical to meet the skills and responsibilities of the position
3. Ability to clearly, concisely and accurately convey communications
4. Ability to form and develop interpersonal, professional relationships
5. Display socially and professionally appropriate behavior
...",not sure,yes
Software Engineer,2025-08-26,https://jobright.ai/jobs/info/68ae5c47d627244576e5364a?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Santa Clara, California, United States",Selector,51-100,"Analytics,Artificial Intelligence (AI)","$187,741-$210,000 /yr","1. Master’s degree or foreign equivalent in Computer Science, Natural Language Processing, or related field
2. Must have advance level coursework, project background, or internship experience in each of the following: Determining operational feasibilities and resolving routine problems by conducting algorithmic analysis
3. Must have advance level coursework, project background, or internship experience in each of the following: Machine learning models using data mining and wrangling, neural network architecture, and project deployment and maintenance
4. Must have advance level coursework, project background, or internship experience in each of the following: Data science libraries including Numpy, Pandas, Scikit Learn, and/or Matlibplot
5. Must have advance level coursework, project background, or internship experience in each of the following: Utilizing Python and PyTorch for training, deploying, and maintaining Deep Learning models
...",not sure,
Software Developer,2025-08-26,https://jobright.ai/jobs/info/68ae56ecd627244576e533b8?utm_source=1100&utm_campaign=Software Engineering,On Site,US.CO.Denver,AtkinsRéalis,10000+,"Civil Engineering,Construction",$70000-$85000 /yr,"1. 0-2 Years of professional experience in a related technical field.
2. Must have a Bachelor’s degree in Computer Science or a Master’s degree in Information Systems from an accredited college/university.
3. Proficient in C#, .NET platform, Entity Framework, JavaScript, TypeScript, SQL Server, and HTML.
4. Experience in web application development using ASP.NET Razor; familiarity with ASP.NET Blazor is a plus.
5. Hands-on experience with modern JavaScript frameworks such as React and Angular, leveraging TypeScript for scalable and maintainable web solutions.
...",not sure,yes
Bilingual Quality Assurance Specialist - (Spanish/English),2025-08-26,https://jobright.ai/jobs/info/6894f2924ed2ea559ca51f03?utm_source=1100&utm_campaign=Software Engineering,Remote,"Reston, VA",ICF,5001-10000,Professional Services,$34392-$58466 /yr,"1. High school diploma or equivalent required.
2. 6 months + Survey Research/ Customer Service Experience
3. Must be fluent in Spanish and able to read and record answers in Spanish.",not sure,
Software Developer – Entry Level,2025-08-26,https://jobright.ai/jobs/info/68ae48fa758f2e4ac30128f8?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Westerville, OH
Pittsburgh, PA",CGI,5001-10000,"Analytics,Application Performance Management","$57,100-$94,200 /yr","1. Bachelor’s degree from an accredited college or university in Computer Science, Computer Engineering, Information Systems or a related technical field
2. Foundational experience in software development (SQL, Java, C#, .NET, J2EE, C++)
3. Strong ability to learn new frameworks and technologies quickly
4. A growth-oriented mindset and a passion for learning
5. Excellent analytical thinking, and strong written and verbal communication skills
...",no,
Associate SW Engineer (AHT),2025-08-26,https://jobright.ai/jobs/info/68ae44b1daf1431824ca1ee1?utm_source=1100&utm_campaign=Software Engineering,On Site,United States-Alabama-Huntsville,Northrop Grumman Australia,251-500,,"$70,600-$106,000 /yr","1. Bachelor's degree in STEM
2. Active Secret Security Clearance, or the ability to obtain Secret Clearance
3. Experience developing software using Java
4. Experience developing software using C++
5. Experience developing software on Linux
...",no,
Software Developer,2025-08-26,https://jobright.ai/jobs/info/68ae4402d627244576e52c3c?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Minneapolis, MN",Aspen Technology,1001-5000,"Industrial,Industrial Automation",$90200-$112800 /yr,"1. Bachelor's degree in software engineering or related technical field.
2. Proficiency in object-oriented design and programming using an object-oriented language such as C#, Java, C, or C++.
3. Experience with GIT for source-code management.
4. Solid understanding of algorithms and complex data structures.
5. Knowledge of RESTful API’s and services.
...",no,
"Quality Assurance Engineer I, Amazon Smart Vehicles, Amazon Smart Vehicles, Validation & Verification team",2025-08-26,https://jobright.ai/jobs/info/68ae43ab758f2e4ac30126ad?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Seattle, WA
Sunnyvale, California, USA
Seattle, Washington, USA",Amazon,10000+,"Delivery,E-Commerce","$75,700-$183,100 /yr","1. 1+ years of quality assurance engineering experience
2. Bachelor's degree
3. Experience in manual testing
4. Experience in automation testing
5. Experience in UI and API automation testing (Selenium/SOAPUI)",not sure,
