Position Title,Date,Apply,Work Model,Location,Company,Hire Time,Graduate Time,Company Industry,Company Size,Salary,Qualifications
Infrastructure/Computer Systems/Tools Co-op,2026-02-12,https://cae.wd3.myworkdayjobs.com/career/job/Tampa/Infrastrucuture-Computer-Systems-Tools-Co-op_120463?utm_source=Simplify&ref=Simplify,On-site,"Tampa, FL",CAE,Summer 2026,2025-2026,Other,100-1000,,Summer 2026 internship
Software Intern Engineer for Crypto and Cross Domain Solutions,2026-02-12,https://careers-gdms.icims.com/jobs/70074/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,On-site,"Scottsdale, AZ",General Dynamics Mission Systems,Summer 2026,2025-2026,Software Engineering,100-1000,,Summer 2026 internship position
Software Engineer Intern,2026-02-12,https://apply.careers.microsoft.com/careers/job/1970393556752823?utm_source=Simplify&ref=Simplify,Remote,Remote in USA,Microsoft,Summer 2026,2025-2026,Software Engineering,10000+,,Summer 2026 internship position
Digital Systems Intern,2026-02-12,https://ovintiv.wd3.myworkdayjobs.com/ovintivcareers/job/Denver-CO-US/Intern-Digital-Systems_R2513?utm_source=Simplify&ref=Simplify,On-site,"Denver, CO Calgary, AB, Canada",Ovintiv,Summer 2026,2025-2026,Other,100-1000,,Summer 2026 internship position
Generative AI Software Engineer,2026-02-12,https://jobs.supermicro.com/job/San-Jose-Generative-AI-Software-Engineer-Co-Op-Cali/1364254900/?ats=successfactors&utm_source=Simplify&ref=Simplify,On-site,"San Jose, CA",Super Micro Computer,Summer 2026,2025-2026,Data Science,100-1000,,Summer 2026 internship
Engineer - Intern,2026-02-12,https://careers-gdms.icims.com/jobs/70806/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,On-site,"San Jose, CA",General Dynamics Mission Systems,Summer 2026,2025-2026,Software Engineering,100-1000,,Summer 2026 internship position
Software Engineering Internship - Year in Industry placement - Start summer 2026,2026-02-12,https://abbott.wd5.myworkdayjobs.com/abbottcareers/job/United-Kingdom---Witney/Software-Engineering-Internship---Year-in-Industry-placement---Start-summer-2026_31137726?utm_source=Simplify&ref=Simplify,On-site,"Brize Norton, Carterton, UK",Abbott,Summer 2026,2025-2026,Software Engineering,100-1000,,Summer 2026 internship position
Application Developer Intern,2026-02-12,https://amat.wd1.myworkdayjobs.com/External/job/Santa-ClaraCA/XMLNAME-2026-Summer-Application-Developer-Intern_R2612368?utm_source=Simplify&ref=Simplify,On-site,"Santa Clara, CA",Applied Materials,Summer 2026,2025-2026,Software Engineering,100-1000,,Summer 2026 internship position
Software Intern,2026-02-12,https://cadence.wd1.myworkdayjobs.com/External_Careers/job/AUSTIN/Software-Intern_R53210-1?utm_source=Simplify&ref=Simplify,On-site,"Austin, TX",Cadence Design Systems,Summer 2026,2025-2026,Other,100-1000,,Summer 2026 internship position
Guidance – And Control Intern - Navigation,2026-02-12,https://pae.wd1.myworkdayjobs.com/en-US/amentum_careers/job/US-AL-Huntsville/Guidance--Navigation--and-Control-Intern_R0154043?utm_source=Simplify&ref=Simplify,On-site,"Huntsville, AL",Amentum,Summer 2026,2025-2026,Other,100-1000,,Summer 2026 internship position
Systems Software Engineer Intern,2026-02-12,https://motorolasolutions.wd5.myworkdayjobs.com/Careers/job/Texas-Remote-Work/Systems-Software-Engineer-Intern--US-Remote----Summer-Internship-2026_R61753?utm_source=Simplify&ref=Simplify,Remote,Remote in USA,Motorola,Summer 2026,2025-2026,Software Engineering,100-1000,,Summer 2026 internship position
2026 Intern – Software Engineer Intern - CO,2026-02-12,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-CO-AURORA-S77--16470-E-Hughes-Dr--BLDG-S77/XMLNAME-2026-Intern---Software-Engineer-Intern---Onsite--CO-_01823508?utm_source=Simplify&ref=Simplify,On-site,"Aurora, CO",RTX,Summer 2026,2025-2026,Software Engineering,100-1000,,Summer 2026 internship position
