Course Code,Course Title,Course URL,Course Name,Course Number,Course Description,Credits,Course Professor,Course Prerequisite,Course Branch,Offered Semester
AAI 551,Engineering Programming: Python,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/aai-applied-artificial-intelligence/500/aai-551,Engineering Programming: Python,551,"This course presents tool, techniques, algorithms, and programming techniques using the Python programming language for data intensive applications and decision making. The course formally introduces techniques to: (i) gather,(ii) store, and (iii) process large volumes of data to make informed decisions. Such techniques find applicability in many engineering application areas, including communications systems, embedded systems, smart grids, robotics, Internet, and enterprise networks, or any network where information flows and alters decision making.",3,Not available on this page structure,Graduate Student or At Least Junior,,
AAI 595,Applied Machine Learning,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/aai-applied-artificial-intelligence/500/aai-595,Applied Machine Learning,595,"An introduction course for machine learning theory, algorithms and applications. This course aims to provide students with the knowledge in understanding key elements of how to design algorithms/systems that automatically learn, improve and accumulate knowledge with experience. Topics covered in this course include decision tree learning, neural networks, Bayesian learning, reinforcement learning, ensembling multiple learning algorithms, and various application problems. The students will have chances to simulate their algorithms in a programming language and apply them to solve real-world problems.",3,Not available on this page structure,,,"Fall Semester

Spring Semester

Summer Semester

Summer Session 1"
AAI 627,"Data Acquisition, Modeling and Analysis: Big Data Analytics",https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/aai-applied-artificial-intelligence/600/aai-627,"Data Acquisition, Modeling and Analysis: Big Data Analytics",627,"This course is designed to enhance ECE’s students knowledge in core subjects with the ability of analyzing big data applications.  It will cover both the computational techniques, and the mathematical intuitions in the skill sets for the big data analytics. This class will provide students with the necessary data engineering processing skills, refined data optimizations for feature engineering, and sophisticated linear analysis for data transform and model ensembling.",3,Not available on this page structure,,,"Fall Semester

Spring Semester"
AAI 628,"Data Acquisition, Modeling and Analysis: Deep Learning",https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/aai-applied-artificial-intelligence/600/aai-628,"Data Acquisition, Modeling and Analysis: Deep Learning",628,"This course will provide a comprehensive introduction on deep learning techniques used by practitioners in industry, with a focus on programming exercises using deep learning software packages. The course starts with a brief overview on statistics, linear algebra, and machine learning basics, and emphasizes teaching the analytical tools and the programming skills for applying deep neural networks for different application scenarios. By the end of the course, students will have a thorough knowledge on the state-of-the-art approaches used in deep learning for engineering applications.",3,Not available on this page structure,,,"Fall Semester

Spring Semester"
AAI 646,Pattern Recognition and Classification,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/aai-applied-artificial-intelligence/600/aai-646,Pattern Recognition and Classification,646,"Introduction and general pattern recognition concerns and statistical pattern recognition: introduction to statistical pattern recognition, supervised learning (training) using parametric and nonparametric approaches, parametric estimation and supervised learning, maximum likelihood (ML) estimation, the Bayesian parameter estimation approach, supervised learning using nonparametric approaches, Parzen windows, nonparametric estimation, unsupervised learning and clustering, and formulation of unsupervised learning problems; syntactic pattern recognition: quantifying structure in pattern description and recognition, grammar-based approach and applications, elements of formal grammars, syntactic recognition via parsing and other grammars, graphical approaches, and learning via grammatical inference; neural pattern recognition: the artificial neural network model, introduction to neural pattern associators and matrix approaches, multilayer, feed-forward network structure, and content addressable memory approaches. The Hopfield approach to pattern recognition, unsupervised learning, and self-organizing networks.",3,Not available on this page structure,,,"Fall Semester

Spring Semester

Summer Session 1"
AAI 672,Applied Game Theory and Evolutionary Algorithms,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/aai-applied-artificial-intelligence/600/aai-672,Applied Game Theory and Evolutionary Algorithms,672,"Part I: Introduction to game theory and evolutionary algorithms: games in strategic form and Nash equilibrium, existence and properties of Nash equilibrium, Pareto efficiency, extensive form games, repeated games, Bayesian games and Bayesian equilibrium, types of games and equilibrium properties, learning in games, evolutionary algorithms. Part II: Engineering applications of game theory and evolutionary algorithms. Examples may include: network optimization, cognitive radio networks, internet of things, smart health, smart grids, security applications.",3,Not available on this page structure,,,Fall Semester
AAI 708,Practicum in Applied Artificial Intelligence,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/aai-applied-artificial-intelligence/700/aai-708,Practicum in Applied Artificial Intelligence,708,"This course involves an educationally relevant practical industry project experience that augments the academic content of the student’s program. Students engage in a project in industry that is relevant to the focus of their academic program. This project is conducted under the supervision of a faculty advisor and an industry mentor. During the semester, the student must submit written progress reports. At the end of the semester, the student must submit a final written report, and present a summary of his/her activities by means of a powerpoint presentation that will both be graded. This is a one-credit course that may be repeated up to a total of three credits.",1 - 3,Not available on this page structure,Grad Student or (Junior or Senior) and Permission Required,,"Fall Semester

Spring Semester

Summer Session 1

Summer Session 2"
AAI 800,Special Problems in Applied Artificial Intelligence,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/aai-applied-artificial-intelligence/800/aai-800,Special Problems in Applied Artificial Intelligence,800,"An investigation of a current research topic at the pre-master's level, under the direction of a faculty member.  A Written report is required, which should have the substance of a publishable article.  Students with no practical experience who do not write a master's thesis are invited to take advantage of this experience.",3,Not available on this page structure,Need Permission - Graduate DEAN 698,,"Fall Semester

Spring Semester

Summer Semester"
AAI 900,Thesis in Applied Artificial Intelligence (Masters),https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/aai-applied-artificial-intelligence/900/aai-900,Thesis in Applied Artificial Intelligence (Masters),900,"A thesis of significance to be filed in libraries, demonstrating competence in a research area of Applied Artificial Intelligence.",1 - 10,Not available on this page structure,Need Permission - Graduate DEAN 698,,"Fall Semester

Spring Semester

Summer Semester"
ACC 200,Principles of Financial Accounting,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/acc-accounting/200/acc-200,Principles of Financial Accounting,200,"This course deals with the methods and principles of financial accounting. It is concerned with the measurement of the results of business activities and with the preparation and use of financial reports such as the balance sheet and income statement. Topics include: the accounting cycle, principles of accrual accounting, the measurement and reporting of detailed balance sheet items and the analysis of financial reports. Ethical issues in accounting will be addressed.",3,Not available on this page structure,,,"Fall Semester

Spring Semester"
ACC 215,Managerial Accounting,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/acc-accounting/200/acc-215,Managerial Accounting,215,"This course deals with the methods and principles of managerial accounting. It is concerned with the use of accounting data by individuals within a business in order to enhance managerial decision-making and control. Topics include costs estimation, cash flow statements and financial statement analysis.",3,Not available on this page structure,BT 200 or ACC 200,,Spring Semester
ACC 311,Intermediate Accounting I,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/acc-accounting/300/acc-311,Intermediate Accounting I,311,"The course is the first of a two-semester course of intensive study of accounting theory and its application. The course will focus on the accounting principles that shape the financial reporting practices followed by entities that prepare financial statements in accordance with generally accepted accounting principles (GAAP). After taking this course, students should be able to: - demonstrate an understanding of the conceptual framework of financial reporting; - apply steps in the financial reporting process (record transactions and prepare a trial balance) and prepare financial statements; - explain and apply time value of money concepts using present value and future value tables; and - demonstrate an in-depth understanding of specific assets and liabilities such as cash, receivables, inventories, property and equipment, intangibles, current liabilities, contingencies, and long-term liabilities.",3,Not available on this page structure,BT 200 or ACC 200,,
ACC 312,Intermediate Accounting II,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/acc-accounting/300/acc-312,Intermediate Accounting II,312,"The course is the first of a two-semester course of intensive study of accounting theory and its application. The course will focus on the accounting principles that shape the financial reporting practices followed by entities that prepare financial statements in accordance with generally accepted accounting principles (GAAP). After taking this course, students should be able to: - demonstrate an understanding of the conceptual framework of financial reporting; - apply steps in the financial reporting process (record transactions and prepare a trial balance) and prepare financial statements; - explain and apply time value of money concepts using present value and future value tables; and - demonstrate an in-depth understanding of specific assets and liabilities such as cash, receivables, inventories, property and equipment, intangibles, current liabilities, contingencies, and long-term liabilities.",3,Not available on this page structure,ACC 311,,
ACC 351,Federal Taxation of Individuals,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/acc-accounting/300/acc-351,Federal Taxation of Individuals,351,"This course deals with the methods and principles of US Federal income taxation. It is concerned with the history and politics behind the federal income tax laws and regulations, including major emphasis on tax provisions common to all types of taxpayers, particularly individuals. Topics include: tax authority, research, compliance and planning; gross income and exclusions; individual deductions and credits; tax rate schedules and calculation; filing status; investments and property transactions; self-employment income; retirement planning; home ownership and professional ethics.",3,Not available on this page structure,BT 200 or ACC 200,,
ACC 352,Federal Taxation of Business Entities,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/acc-accounting/300/acc-352,Federal Taxation of Business Entities,352,"This course presents the legal and income tax applications relative to various types of taxable entities, including sole proprietorship, corporations, partnerships, limited liability companies and S-Corporations. This course also presents an overview of the applicable tax problems associated with the organization, operation, and distribution from and liquidation/ dissolution of each type of entity.",3,Not available on this page structure,ACC 312 CoReq,,
ACC 421,Audit and Assurance,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/acc-accounting/400/acc-421,Audit and Assurance,421,"This course will cover auditing and assurance services, primarily the audit of financial statements, and the role of these services in business and society. Students are introduced to auditing concepts, auditing standards, and the audit process including the role of the CPA/auditor in risk assessment, analytical review procedures, statistical sampling, evidence collection and reporting. The role of accountants and their ethical environment will be emphasized. Students will also develop familiarity with uses of technology in auditing.",3,Not available on this page structure,ACC 311 and CoReq ACC 312,,Spring Semester
ACC 431,Advanced Accounting,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/acc-accounting/400/acc-431,Advanced Accounting,431,"This course covers consolidated financial statements and multinational accounting including foreign currency transactions and translations. The course also provides an introduction to International Financial Reporting Standards, governmental and not-for-profit accounting, and accounting for partnerships. Ethical issues in the accounting profession are also discussed.",3,Not available on this page structure,ACC 311 and ACC 312,,Spring Semester
ACC 510,Financial Statement Analysis,https://stevens.smartcatalogiq.com/en/2024-2025/academic-catalog/courses/acc-accounting/500/acc-510,Financial Statement Analysis,510,"This course deals with (1) interpretation of financial statements, (2) evaluation of the alignment between business strategies and financial performance, (3) identification of potential business risks, and (4) comparison of performance of different companies. The course introduces business analysis and valuation techniques and utilizes real world data to help students comprehend financial statement analysis tools. Topics covers financial statement information, tools of financial statement analysis, and forecasting and valuation techniques.",3,Not available on this page structure,"(( ACC 200 or FIN 500 or FIN 515 ) and Graduate Student or at Least Junior) or (Finance, MBA, or Accounting and Analytics Masters)",,"Fall Semester

Spring Semester"
